LabID,SampleID,Date,Time,TDN uMol/L N,TDN mg/L N,TDP uMol/L P,TDP mg/L P
MD19_2-36,MD19_104,8/14/2019,13:26,30.165,0.422539254,0.337,0.01042678
MD19_2-37,MD19_105,8/14/2019,13:30,31.139,0.436182656,0.46,0.0142324
MD19_2-38,MD19_106,8/14/2019,13:35,29.756,0.416810146,0.349,0.01079806
MD19_2-39,MD19_107,8/14/2019,13:39,29.975,0.41987781,0.328,0.01014832
MD19_2-40,MD19_108,8/14/2019,13:43,29.95,0.41952762,0.352,0.01089088
MD19_2-41,MD19_109,8/14/2019,13:47,31.142,0.436224679,0.251,0.00776594
MD19_2-42,MD19_110,8/14/2019,13:51,29.95,0.41952762,0.24,0.0074256
MD19_2-43,MD19_111,8/14/2019,13:55,29.336,0.410926954,0.246,0.00761124
MD19_2-44,MD19_112,8/14/2019,13:59,29.872,0.418435027,0.264,0.00816816
MD19_2-45,MD19_113,8/14/2019,14:03,32.423,0.454168415,0.239,0.00739466
MD19_2-46,MD19_114,8/14/2019,14:07,30.948,0.433507205,0.224,0.00693056
MD19_2-47,MD19_115,8/14/2019,14:11,30.574,0.428268362,0.214,0.00662116
MD19_2-48,MD19_116,8/14/2019,15:30,31.075,0.43528617,0.205,0.0063427
MD19_2-49,MD19_117,10/21/2019,10:06,33.337,0.466971361,0.451,0.01395394
MD19_2-50,MD19_118,10/21/2019,10:12,34.286,0.480264574,0.412,0.01274728
MD19_2-51,MD19_119,10/21/2019,10:19,33.513,0.469436699,0.446,0.01379924
MD19_2-52,MD19_120,10/21/2019,10:24,33.382,0.467601703,0.442,0.01367548
MD19_2-53,MD19_121,10/21/2019,10:30,32.444,0.454462574,0.413,0.01277822
MD19_2-54,MD19_122,10/21/2019,10:35,35.263,0.493949999,0.51,0.0157794
MD19_2-55,MD19_123,10/21/2019,10:40,33.058,0.463063241,0.43,0.0133042
MD19_2-56,MD19_124,10/21/2019,10:45,34.046,0.47690275,0.471,0.01457274
MD19_2-57,MD19_125,10/21/2019,10:50,32.247,0.451703077,0.434,0.01342796
MD19_2-58,MD19_126,10/21/2019,10:55,33.562,0.470123071,0.455,0.0140777
MD19_2-59,MD19_127,10/21/2019,11:00,32.857,0.460247713,0.443,0.01370642
MD19_2-60,MD19_128,10/21/2019,11:04,35.806,0.501556126,0.446,0.01379924
MD19_2-61,MD19_129,10/21/2019,11:08,32.123,0.449966135,0.447,0.01383018
MD19_2-62,MD19_130,10/21/2019,11:12,33.076,0.463315378,0.454,0.01404676
MD19_2-63,MD19_131,10/21/2019,11:16,33.643,0.471257687,0.479,0.01482026
MD19_2-64,MD19_132,10/21/2019,11:20,32.388,0.453678149,0.439,0.01358266
MD19_2-65,MD19_133,10/21/2019,11:24,32.617,0.456885889,0.453,0.01401582
MD19_2-66,MD19_134,10/21/2019,12:05,33.52,0.469534752,0.415,0.0128401
MD19_2-67,MD19_135,10/21/2019,12:11,33.562,0.470123071,0.463,0.01432522
MD19_2-68,MD19_136,10/21/2019,12:17,33.569,0.470221124,0.501,0.01550094
MD19_2-69,MD19_137,10/21/2019,12:23,33.146,0.46429591,0.445,0.0137683
MD19_2-70,MD19_138,10/21/2019,12:29,32.67,0.457628292,0.44,0.0136136
MD19_2-71,MD19_139,10/21/2019,12:47,32.176,0.450708538,0.437,0.01352078
MD19_2-72,MD19_140,10/21/2019,12:52,32.229,0.45145094,0.431,0.01333514
MD19_2-73,MD19_141,10/21/2019,12:57,32.811,0.459603364,0.442,0.01367548
MD19_2-74,MD19_142,10/21/2019,13:02,32.79,0.459309204,0.439,0.01358266
MD19_2-75,MD19_143,10/21/2019,13:07,32.959,0.461676488,0.474,0.01466556
MD19_2-76,MD19_144,10/21/2019,13:12,32.984,0.462026678,0.444,0.01373736
MD19_2-77,MD19_145,10/21/2019,13:17,33.947,0.475515997,0.472,0.01460368
MD19_2-78,MD19_146,10/21/2019,13:22,32.86,0.460289736,0.433,0.01339702
MD19_2-79,MD19_147,10/21/2019,13:28,33.086,0.463455454,0.429,0.01327326
MD19_2-80,MD19_148,10/21/2019,13:32,36.141,0.506248672,0.765,0.0236691
MD19_2-81,MD19_149,10/21/2019,13:36,32.871,0.46044382,0.438,0.01355172
MD19_2-82,MD19_150,10/21/2019,13:40,34.127,0.478037365,0.715,0.0221221
MD19_2-83,MD19_151,10/21/2019,13:44,32.991,0.462124732,0.64,0.0198016
MD19_2-84,MD19_152,10/21/2019,13:48,32.299,0.452431472,0.451,0.01395394
MD19_2-85,MD19_153,10/21/2019,13:52,32.927,0.461228245,0.435,0.0134589
MD19_2-86,MD19_154,10/21/2019,13:56,32.155,0.450414378,0.412,0.01274728
MD19_2-87,MD19_155,10/21/2019,14:01,31.908,0.446954501,0.479,0.01482026
MD19_2-88,MD19_156,10/21/2019,14:05,32.07,0.449223732,0.42,0.0129948
MD19_2-89,MD19_157,10/21/2019,14:09,32.416,0.454070362,0.407,0.01259258
MD19_2-90,MD19_158,10/21/2019,14:13,32.889,0.460695956,0.402,0.01243788
MD19_2-91,MD19_159,10/21/2019,14:17,33.125,0.46400175,0.468,0.01447992
MD19_2-92,MD19_160,10/21/2019,14:21,32.571,0.45624154,0.449,0.01389206
MD19_2-93,MD19_161,10/21/2019,14:24,32.536,0.455751274,0.464,0.01435616
MD19_2-94,MD19_162,10/21/2019,15:45,31.305,0.438507918,0.42,0.0129948
