SampleID,Site,Datetime,Rep,Date,uMol/L N-NO3,uMol/L N-NH4,uMol/L P-PO4,mg/L N-NO3,mg/L N-NH4,mg/L P-PO4
MD19_0027,MissDelta,5/17/2019 11:10,,5/17/2019,23.118,3.205,0.171,0.323806891,0.044891474,0.00529074
MD19_0028,MissDelta,5/17/2019 11:14,,5/17/2019,22.93,2.892,0.14,0.321173631,0.040507376,0.0043316
MD19_0029,MissDelta,5/17/2019 11:18,,5/17/2019,23.552,3.416,0.145,0.329885798,0.047846887,0.0044863
MD19_0030,MissDelta,5/17/2019 11:22,,5/17/2019,24.117,3.413,0.152,0.337799584,0.047804867,0.00470288
MD19_0031,MissDelta,5/17/2019 11:26,,5/17/2019,22.68,3.514,0.153,0.317671956,0.049219544,0.00473382
MD19_0032,MissDelta,5/17/2019 11:30,,5/17/2019,20.757,3.462,0.125,0.290737072,0.048491195,0.0038675
MD19_0033,MissDelta,5/17/2019 11:34,,5/17/2019,18.844,2.059,0.093,0.263942255,0.028839795,0.00287742
MD19_0034,MissDelta,5/17/2019 11:36,,5/17/2019,18.621,3.14,0.087,0.260818761,0.043981038,0.00269178
MD19_0035,MissDelta,5/17/2019 12:39,,5/17/2019,25.513,3.589,0.185,0.357352937,0.050270046,0.0057239
MD19_0036,MissDelta,7/3/2019 10:10,,7/3/2019,25.113,2.837,0.054,0.351750257,0.039737008,0.00167076
MD19_0037,MissDelta,7/3/2019 10:16,,7/3/2019,25.253,2.912,0.077,0.353711195,0.04078751,0.00238238
MD19_0038,MissDelta,7/3/2019 10:20,,7/3/2019,24.459,2.622,0.054,0.342589875,0.036725567,0.00167076
MD19_0039,MissDelta,7/3/2019 10:24,,7/3/2019,24.442,2.869,0.06,0.342351761,0.040185222,0.0018564
MD19_0040,MissDelta,7/3/2019 10:28,,7/3/2019,23.939,2.638,0.171,0.335306391,0.036949675,0.00529074
MD19_0041,MissDelta,7/3/2019 10:33,,7/3/2019,23.847,2.436,0.055,0.334017775,0.034120321,0.0017017
MD19_0042,MissDelta,7/3/2019 10:37,,7/3/2019,23.025,2.625,0.056,0.322504268,0.036767588,0.00173264
MD19_0043,MissDelta,7/3/2019 10:43,,7/3/2019,22.652,2.261,0.059,0.317279768,0.031669149,0.00182546
MD19_0044,MissDelta,7/3/2019 10:48,,7/3/2019,22.974,2.036,0.052,0.321789926,0.028517641,0.00160888
MD19_0045,MissDelta,7/3/2019 10:52,,7/3/2019,22.676,2.042,0.058,0.317615929,0.028601681,0.00179452
MD19_0046,MissDelta,7/3/2019 10:56,,7/3/2019,22.269,2.098,0.057,0.311915202,0.029386057,0.00176358
MD19_0047,MissDelta,7/3/2019 11:00,,7/3/2019,22.392,3.175,0.069,0.313638026,0.044471273,0.00213486
MD19_0048,MissDelta,7/3/2019 11:04,,7/3/2019,22.238,2.713,0.055,0.311480995,0.038000177,0.0017017
MD19_0049,MissDelta,7/3/2019 11:08,,7/3/2019,21.725,1.831,0.084,0.304295558,0.025646268,0.00259896
MD19_0050,MissDelta,7/3/2019 11:12,,7/3/2019,22.009,2.475,0.077,0.30827346,0.034666583,0.00238238
MD19_0051,MissDelta,7/3/2019 11:16,,7/3/2019,22.095,2.055,0.065,0.309478037,0.028783769,0.0020111
MD19_0052,MissDelta,7/3/2019 11:20,,7/3/2019,21.684,1.408,0.15,0.303721283,0.019721434,0.004641
MD19_0053,MissDelta,7/3/2019 11:24,,7/3/2019,21.663,1.531,0.062,0.303427142,0.021444258,0.00191828
MD19_0054,MissDelta,7/3/2019 11:28,,7/3/2019,21.985,1.919,0.057,0.3079373,0.026878857,0.00176358
MD19_0055,MissDelta,7/3/2019 11:32,,7/3/2019,21.879,1.626,0.052,0.306452589,0.022774894,0.00160888
MD19_0056,MissDelta,7/3/2019 11:36,,7/3/2019,21.568,1.492,0.068,0.302096506,0.020897996,0.00210392
MD19_0057,MissDelta,7/3/2019 11:40,,7/3/2019,13.594,1.72,0.075,0.19040708,0.024091524,0.0023205
MD19_0058,MissDelta,7/3/2019 11:44,,7/3/2019,21.742,1.277,0.077,0.304533671,0.017886556,0.00238238
MD19_0059,MissDelta,7/3/2019 11:48,,7/3/2019,22.173,1.593,0.071,0.310570559,0.022312673,0.00219674
MD19_0060,MissDelta,7/3/2019 11:52,,7/3/2019,21.954,1.609,0.067,0.307503092,0.02253678,0.00207298
MD19_0061,MissDelta,7/3/2019 11:56,,7/3/2019,21.814,2.528,0.135,0.305542154,0.035408938,0.0041769
MD19_0062,MissDelta,7/3/2019 12:00,,7/3/2019,21.537,1.528,0.074,0.301662298,0.021402238,0.00228956
MD19_0063,MissDelta,7/3/2019 12:04,,7/3/2019,21.544,1.648,0.071,0.301760345,0.023083042,0.00219674
MD19_0064,MissDelta,7/3/2019 12:08,,7/3/2019,21.13,1.443,0.081,0.295961571,0.020211668,0.00250614
MD19_0065,MissDelta,7/3/2019 12:12,,7/3/2019,20.828,1.704,0.085,0.291731548,0.023867417,0.0026299
MD19_0066,MissDelta,7/3/2019 12:16,,7/3/2019,19.901,1.447,0.076,0.278747337,0.020267695,0.00235144
MD19_0067,MissDelta,7/3/2019 12:20,,7/3/2019,6.086,2.609,0.104,0.085244776,0.03654348,0.00321776
MD19_0068,MissDelta,7/3/2019 13:35,,7/3/2019,27.382,3.843,0.074,0.383531459,0.053827748,0.00228956
