[Header]	
System	TOC-L	
S/W Version	1.00	
User		
Date/Time	12/2/2019 11:46:54 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC	MD1982	Untitled					3.498		mg/L	53	10/30/2019 4:56:17 AM	
Unknown	NPOC	MD1983	Untitled					3.401		mg/L	54	10/30/2019 5:10:15 AM	
Unknown	NPOC	MD1984	Untitled					3.370		mg/L	55	10/30/2019 5:24:22 AM	
Unknown	NPOC	MD1985	Untitled					3.480		mg/L	56	10/30/2019 5:38:39 AM	
Unknown	NPOC	MD1986	Untitled					3.501		mg/L	57	10/30/2019 5:50:08 AM	
Unknown	NPOC	MD1987	Untitled					3.569		mg/L	58	10/30/2019 6:01:28 AM	
Unknown	NPOC	MD1988	Untitled					3.454		mg/L	59	10/30/2019 6:15:55 AM	
Unknown	NPOC	BLK	Untitled					1.604		mg/L	60	10/30/2019 6:29:57 AM	
Unknown	NPOC	MD1989	Untitled					3.755		mg/L	61	10/30/2019 6:44:13 AM	
Unknown	NPOC	MD1990	Untitled					3.561		mg/L	62	10/30/2019 6:55:47 AM	
Unknown	NPOC	MD1991	Untitled					3.395		mg/L	63	10/30/2019 7:10:26 AM	
Unknown	NPOC	MD1992	Untitled					4.054		mg/L	64	10/30/2019 7:22:00 AM	
Unknown	NPOC	MD1993	Untitled					3.611		mg/L	65	10/30/2019 7:36:35 AM	
Unknown	NPOC	MD1994	Untitled					3.562		mg/L	66	10/30/2019 7:50:50 AM	
Unknown	NPOC	MD1995	Untitled					3.329		mg/L	67	10/30/2019 8:04:01 AM	
Unknown	NPOC	MD1996	Untitled					3.376		mg/L	68	10/30/2019 8:18:25 AM	
Unknown	NPOC	MD1997	Untitled					3.101		mg/L	69	10/30/2019 8:32:44 AM	
Unknown	NPOC	MD1998	Untitled					3.055		mg/L	70	10/30/2019 8:46:59 AM	
Unknown	NPOC	MD1999	Untitled					3.032		mg/L	71	10/30/2019 8:58:26 AM	
Unknown	NPOC	MD19100	Untitled					2.949		mg/L	72	10/30/2019 9:12:27 AM	
Unknown	NPOC	MD19101	Untitled					3.057		mg/L	73	10/30/2019 9:26:38 AM	
Unknown	NPOC	MD19102	Untitled					2.917		mg/L	74	10/30/2019 9:40:48 AM	
Unknown	NPOC	MD19103	Untitled					2.838		mg/L	75	10/30/2019 9:55:08 AM	
Unknown	NPOC	MD19104	Untitled					2.903		mg/L	76	10/30/2019 10:09:22 AM	
Unknown	NPOC	MD19105	Untitled					2.822		mg/L	77	10/30/2019 10:23:36 AM	
Unknown	NPOC	MD19106	Untitled					2.935		mg/L	78	10/30/2019 10:35:04 AM	
Unknown	NPOC	MD19107	Untitled					2.800		mg/L	79	10/30/2019 10:48:55 AM	
Unknown	NPOC	BLK	Untitled					1.529		mg/L	80	10/30/2019 11:03:03 AM	
Unknown	NPOC	MD19108	Untitled					2.854		mg/L	81	10/30/2019 11:17:25 AM	
Unknown	NPOC	MD19109	Untitled					2.885		mg/L	82	10/30/2019 11:31:40 AM	
Unknown	NPOC	MD19110	Untitled					3.032		mg/L	83	10/30/2019 11:43:13 AM	
Unknown	NPOC	MD19111	Untitled					2.904		mg/L	84	10/30/2019 11:57:18 AM	
Unknown	NPOC	MD19112	Untitled					2.875		mg/L	85	10/30/2019 12:11:35 PM	
Unknown	NPOC	MD19113	Untitled					2.965		mg/L	86	10/30/2019 12:25:52 PM	
Unknown	NPOC	MD19114	Untitled					2.913		mg/L	87	10/30/2019 12:40:05 PM	
Unknown	NPOC	MD19115	Untitled					2.890		mg/L	88	10/30/2019 12:54:21 PM	
Unknown	NPOC	MD19116	Untitled					3.430		mg/L	89	10/30/2019 1:07:32 PM	
