LabID,Site,Transect,Datetime,Rep,Date,uMol/L N-NO3,uMol/L P-PO4,mg/L TN/TDN,mg/L TP/TDP
MD19_2-53,MissDelta,Dead Creek,10/21/2019 10:30,,10/21/2019,32.444,0.413,0.454,0.013
MD19_2-54,MissDelta,Dead Creek,10/21/2019 10:35,,10/21/2019,35.263,0.51,0.494,0.016
MD19_2-55,MissDelta,Dead Creek,10/21/2019 10:40,,10/21/2019,33.058,0.43,0.463,0.013
MD19_2-56,MissDelta,Dead Creek,10/21/2019 10:45,,10/21/2019,34.046,0.471,0.477,0.015
MD19_2-57,MissDelta,Dead Creek,10/21/2019 10:50,,10/21/2019,32.247,0.434,0.452,0.013
MD19_2-58,MissDelta,Dead Creek,10/21/2019 10:55,,10/21/2019,33.562,0.455,0.47,0.014
MD19_2-59,MissDelta,Dead Creek,10/21/2019 11:00,,10/21/2019,32.857,0.443,0.46,0.014
MD19_2-60,MissDelta,Dead Creek,10/21/2019 11:04,,10/21/2019,35.806,0.446,0.502,0.014
MD19_2-61,MissDelta,Dead Creek,10/21/2019 11:08,,10/21/2019,32.123,0.447,0.45,0.014
MD19_2-62,MissDelta,Dead Creek,10/21/2019 11:12,,10/21/2019,33.076,0.454,0.463,0.014
MD19_2-63,MissDelta,Dead Creek,10/21/2019 11:16,,10/21/2019,33.643,0.479,0.471,0.015
MD19_2-64,MissDelta,Dead Creek,10/21/2019 11:20,,10/21/2019,32.388,0.439,0.454,0.014
MD19_2-65,MissDelta,Dead Creek,10/21/2019 11:24,,10/21/2019,32.617,0.453,0.457,0.014
MD19_2-66,MissDelta,Main,10/21/2019 12:05,,10/21/2019,33.52,0.415,0.47,0.013
MD19_2-67,MissDelta,Main,10/21/2019 12:11,,10/21/2019,33.562,0.463,0.47,0.014
MD19_2-68,MissDelta,Main,10/21/2019 12:17,,10/21/2019,33.569,0.501,0.47,0.015
MD19_2-69,MissDelta,Main,10/21/2019 12:23,,10/21/2019,33.146,0.445,0.464,0.014
MD19_2-70,MissDelta,Main,10/21/2019 12:29,,10/21/2019,32.67,0.44,0.458,0.014
MD19_2-71,MissDelta,Main,10/21/2019 12:47,,10/21/2019,32.176,0.437,0.451,0.014
MD19_2-72,MissDelta,Main,10/21/2019 12:52,,10/21/2019,32.229,0.431,0.451,0.013
MD19_2-73,MissDelta,Main,10/21/2019 12:57,,10/21/2019,32.811,0.442,0.46,0.014
MD19_2-74,MissDelta,Main,10/21/2019 13:02,,10/21/2019,32.79,0.439,0.459,0.014
MD19_2-75,MissDelta,Main,10/21/2019 13:07,,10/21/2019,32.959,0.474,0.462,0.015
MD19_2-76,MissDelta,Main,10/21/2019 13:12,,10/21/2019,32.984,0.444,0.462,0.014
MD19_2-77,MissDelta,Main,10/21/2019 13:17,,10/21/2019,33.947,0.472,0.475,0.015
MD19_2-78,MissDelta,Main,10/21/2019 13:22,,10/21/2019,32.86,0.433,0.46,0.013
MD19_2-79,MissDelta,Main,10/21/2019 13:28,,10/21/2019,33.086,0.429,0.463,0.013
MD19_2-80,MissDelta,Main,10/21/2019 13:32,,10/21/2019,36.141,0.765,0.506,0.024
MD19_2-81,MissDelta,Main,10/21/2019 13:36,,10/21/2019,32.871,0.438,0.46,0.014
MD19_2-82,MissDelta,Main,10/21/2019 13:40,,10/21/2019,34.127,0.715,0.478,0.022
MD19_2-83,MissDelta,Main,10/21/2019 13:44,,10/21/2019,32.991,0.64,0.462,0.02
MD19_2-84,MissDelta,Main,10/21/2019 13:48,,10/21/2019,32.299,0.451,0.452,0.014
MD19_2-85,MissDelta,Main,10/21/2019 13:52,,10/21/2019,32.927,0.435,0.461,0.013
MD19_2-86,MissDelta,Main,10/21/2019 13:56,,10/21/2019,32.155,0.412,0.45,0.013
MD19_2-87,MissDelta,Main,10/21/2019 14:01,,10/21/2019,31.908,0.479,0.447,0.015
MD19_2-88,MissDelta,Main,10/21/2019 14:05,,10/21/2019,32.07,0.42,0.449,0.013
MD19_2-89,MissDelta,Main,10/21/2019 14:09,,10/21/2019,32.416,0.407,0.454,0.013
MD19_2-90,MissDelta,Main,10/21/2019 14:13,,10/21/2019,32.889,0.402,0.461,0.012
MD19_2-91,MissDelta,Main,10/21/2019 14:17,,10/21/2019,33.125,0.468,0.464,0.014
MD19_2-92,MissDelta,Main,10/21/2019 14:21,,10/21/2019,32.571,0.449,0.456,0.014
MD19_2-93,MissDelta,Main,10/21/2019 14:24,,10/21/2019,32.536,0.464,0.456,0.014
